Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Arsenal,26,38.0,1.34,0.00,0.00,9.82,11.4,1.47,17.7,6.24,9.03,0.08,0.13,0.03,52.2,12.8,14.7,46.5
Aston Villa,26,38.0,2.11,0.03,0.00,11.0,13.1,1.53,14.8,8.53,8.89,0.11,0.16,0.11,48.6,11.6,12.2,48.7
Bournemouth,31,38.0,1.79,0.00,0.00,10.3,9.61,1.00,13.4,9.29,9.76,0.00,0.18,0.08,51.1,13.7,14.2,49.2
Brentford,25,38.0,1.50,0.03,0.03,9.32,10.5,1.89,17.4,8.97,8.89,0.18,0.05,0.08,51.6,17.5,16.2,51.8
Brighton,29,38.0,1.53,0.00,0.00,11.2,10.7,1.84,18.3,7.97,8.95,0.11,0.21,0.16,53.0,11.7,10.2,53.4
Chelsea,32,38.0,2.13,0.08,0.05,10.2,12.5,1.95,18.2,8.97,11.7,0.08,0.03,0.08,53.3,13.0,11.9,52.1
Crystal Palace,28,38.0,2.16,0.08,0.05,11.7,12.6,1.53,15.3,9.45,11.1,0.05,0.11,0.08,55.1,13.1,15.2,46.2
Everton,29,38.0,2.05,0.03,0.03,10.7,11.1,1.68,15.8,8.95,9.21,0.21,0.21,0.05,52.3,15.3,16.1,48.2
Fulham,29,38.0,2.13,0.03,0.03,10.8,10.7,1.58,17.2,8.95,9.21,0.21,0.21,0.05,52.3,15.3,16.1,48.2
Leeds United,29,38.0,2.34,0.08,0.05,12.3,10.7,1.58,17.2,10.3,12.6,0.05,0.16,0.03,58.1,15.4,16.0,49.1
Leicester City,28,38.0,1.66,0.00,0.03,10.5,14.2,2.18,14.3,9.66,10.8,0.13,0.13,0.13,53.0,13.5,14.7,47.9
Liverpool,28,38.0,1.50,0.03,0.03,10.0,8.45,2.11,21.0,8.76,9.74,0.08,0.11,0.05,58.2,12.7,10.2,51.6
Manchester City,24,38.0,1.50,0.03,0.03,9.73,10.1,1.34,19.5,5.87,7.16,0.24,0.08,0.03,49.1,11.9,9.58,54.6
Manchester Utd,26,38.0,1.73,0.03,0.03,11.2,7.82,2.08,17.3,9.26,10.5,0.05,0.11,0.03,57.6,12.2,11.4,52.3
Newcastle Utd,28,38.0,2.61,0.03,0.03,12.8,10.5,1.87,19.5,8.76,9.47,0.05,0.13,0.05,54.3,14.5,11.2,56.4
Nott'ham Forest,28,38.0,2.21,0.00,0.00,11.7,10.3,1.50,16.1,9.76,11.2,0.08,0.18,0.08,56.1,14.5,15.6,46.1
Southampton,36,38.0,1.92,0.00,0.03,10.3,11.2,1.11,11.2,11.2,11.2,0.08,0.11,0.03,56.1,14.5,15.6,46.1
Tottenham,29,38.0,2.13,0.00,0.00,11.3,9.29,1.89,18.9,8.95,9.29,0.13,0.16,0.03,52.2,13.7,12.5,52.1
West Ham,25,38.0,1.66,0.03,0.03,9.53,10.7,1.84,16.0,7.84,10.6,0.16,0.16,0.03,53.2,16.3,15.4,51.4
Wolves,32,38.0,2.24,0.16,0.03,10.2,10.2,1.63,17.4,7.34,7.74,0.03,0.11,0.03,54.0,12.2,14.3,46.3
