Squad,#,Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG
Arsenal,26,38.0,2.21,15.5,5.11,32.9,15.50,5.11,0.14,0.42,16.0,0.42,0.08,0.11,1.88,1.81,0.12,0.33,0.32
Aston Villa,26,38.0,1.29,11.2,3.82,34.0,11.24,3.82,0.11,0.32,18.0,0.47,0.08,0.11,1.32,1.24,0.11,-0.03,-0.03
Bournemouth,31,38.0,0.97,9.42,3.32,35.2,9.42,3.32,0.10,0.29,15.5,0.37,0.00,0.00,1.01,1.01,0.11,-0.04,-0.04
Brentford,25,38.0,1.47,10.5,3.87,36.8,10.53,3.87,0.12,0.33,15.7,0.37,0.18,0.21,1.48,1.32,0.13,-0.01,-0.13
Brighton,29,38.0,1.79,16.0,5.76,36.1,15.97,5.76,0.10,0.28,16.8,0.32,0.16,0.16,1.93,1.81,0.12,-0.14,-0.18
Chelsea,32,38.0,0.97,12.7,3.97,31.4,12.66,3.97,0.07,0.23,16.8,0.26,0.08,0.08,1.30,1.24,0.10,-0.33,-0.35
Crystal Palace,26,38.0,1.00,11.1,3.50,31.4,11.13,3.50,0.09,0.28,17.6,0.61,0.03,0.08,1.03,0.97,0.09,-0.03,0.11
Everton,28,38.0,0.84,11.2,3.76,33.6,11.21,3.76,0.07,0.20,16.8,0.32,0.08,0.08,1.19,1.13,0.10,-0.35,-0.36
Fulham,29,38.0,1.37,11.1,3.61,32.6,11.05,3.61,0.11,0.34,17.3,0.45,0.13,0.24,1.22,1.03,0.10,0.15,0.21
Leeds United,29,38.0,1.18,12.1,3.71,30.7,12.08,3.71,0.10,0.31,16.6,0.50,0.03,0.08,1.24,1.18,0.10,-0.06,-0.02
Leicester City,28,38.0,1.29,10.8,3.74,34.5,10.84,3.74,0.11,0.32,17.7,0.37,0.08,0.16,1.33,1.20,0.11,-0.04,0.11
Liverpool,28,38.0,1.87,15.8,5.34,33.8,15.82,5.34,0.11,0.34,16.2,0.18,0.05,0.11,1.88,1.80,0.12,-0.01,0.02
Manchester City,24,38.0,2.42,15.5,5.39,34.7,15.53,5.39,0.14,0.40,16.6,0.53,0.24,0.26,2.07,1.87,0.12,0.35,0.41
Manchester Utd,26,38.0,1.47,15.5,5.42,34.9,15.53,5.42,0.09,0.26,17.8,0.53,0.08,0.08,1.78,1.72,0.11,-0.31,-0.32
Newcastle Utd,27,38.0,1.68,14.9,4.84,32.6,14.87,4.84,0.10,0.32,15.6,0.39,0.16,0.16,1.89,1.77,0.12,-0.21,-0.46
Nott'ham Forest,33,38.0,0.95,9.53,2.92,30.7,9.53,2.92,0.09,0.30,17.2,0.24,0.08,0.16,1.03,0.91,0.10,-0.09,-0.09
Southampton,36,38.0,0.95,10.9,3.47,32.0,10.87,3.47,0.08,0.26,18.1,0.45,0.05,0.11,0.99,0.91,0.09,-0.05,-0.02
Tottenham,29,38.0,1.79,13.5,4.89,36.3,13.47,4.89,0.12,0.34,16.7,0.37,0.13,0.16,1.50,1.38,0.10,0.29,0.28
West Ham,25,38.0,1.08,12.3,3.50,28.5,12.26,3.50,0.08,0.26,17.3,0.34,0.16,0.21,1.29,1.15,0.10,-0.22,-0.23
Wolves,32,38.0,0.74,10.8,3.13,29.1,10.76,3.13,0.06,0.21,18.0,0.47,0.08,0.08,0.97,0.91,0.09,-0.23,-0.25
