Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Arsenal,24,29.0,6.76,9.62,6.00,6.76,3.34,13.7,49.5,6.90,8.90,2.93,5.97,6.24,22.3,17.3,0.72
Aston Villa,28,29.0,7.90,9.66,7.79,6.72,2.31,14.3,55.2,6.41,9.07,3.03,6.03,6.55,23.4,20.1,1.31
Bournemouth,28,29.0,8.34,11.3,8.21,8.52,2.72,17.5,47.6,9.17,12.4,3.72,8.66,9.97,29.4,26.3,0.59
Brentford,27,29.0,8.24,10.1,7.55,5.83,3.14,15.3,53.8,7.07,12.8,5.14,7.69,7.76,24.3,28.5,0.66
Brighton,30,29.0,8.86,10.8,7.34,8.00,2.79,18.8,47.1,9.97,11.7,3.34,8.34,8.52,26.7,20.1,0.69
Chelsea,29,29.0,7.45,9.55,6.69,6.48,2.31,14.8,50.3,7.34,9.59,2.86,6.72,7.34,22.8,16.8,1.28
Crystal Palace,27,28.0,9.36,12.7,10.4,8.43,2.86,18.4,51.0,9.00,13.1,3.61,9.50,8.57,30.3,27.9,0.54
Everton,26,29.0,9.10,11.7,10.3,7.10,2.83,17.2,52.9,8.10,9.97,3.62,6.34,9.00,29.2,29.2,0.59
Fulham,26,29.0,7.72,10.5,8.38,7.24,2.24,15.1,51.3,7.34,9.76,2.69,7.07,8.55,26.4,21.9,0.69
Ipswich Town,32,29.0,7.76,9.03,7.79,6.07,2.34,16.9,45.8,9.17,11.1,4.52,6.55,8.72,24.9,26.4,1.10
Leicester City,28,29.0,8.76,11.3,10.1,7.41,2.31,18.4,47.7,9.62,13.4,4.97,8.45,8.76,28.6,26.1,0.72
Liverpool,24,29.0,9.48,10.9,7.55,7.24,2.66,18.2,52.1,8.72,9.69,2.55,7.14,8.14,25.6,19.1,0.66
Manchester City,27,29.0,5.90,8.07,5.14,5.72,2.41,12.1,48.9,6.17,8.79,2.38,6.41,5.97,19.2,16.3,1.00
Manchester Utd,29,29.0,10.1,12.8,10.1,8.24,3.03,18.6,54.5,8.45,10.0,3.10,6.90,10.4,31.8,20.2,0.62
Newcastle Utd,24,28.0,8.50,10.1,7.68,6.29,2.32,16.3,52.2,7.79,11.7,3.96,7.71,7.68,24.0,22.4,0.89
Nott'ham Forest,23,29.0,8.62,11.3,10.8,5.79,1.69,17.3,49.9,8.66,11.5,4.17,7.34,8.66,27.0,30.2,0.55
Southampton,34,29.0,7.38,10.1,7.97,7.38,2.03,15.9,46.5,8.48,11.6,5.07,6.52,8.14,25.5,24.0,1.52
Tottenham,31,29.0,8.52,11.7,7.59,8.03,2.72,16.5,51.6,8.00,11.8,4.03,7.76,8.31,26.7,20.2,1.10
West Ham,27,29.0,7.10,10.1,8.38,6.41,2.21,13.9,51.1,6.79,12.6,4.72,7.90,8.86,25.9,26.4,0.72
Wolves,28,29.0,9.69,12.3,11.4,7.90,1.86,18.1,53.5,8.41,12.1,4.14,7.97,8.28,29.4,24.9,0.72
