Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Arsenal,27,38.0,34.9,68.0,51.3,7391.3,2397.7,1.08,1.06,0.91,0.02,11.5,35.6,8.66,1.95,43.6
Aston Villa,31,38.0,32.6,67.7,48.2,5815.1,2247.5,1.11,0.92,0.79,0.19,9.37,26.8,7.71,1.84,34.2
Brentford,29,38.0,35.7,75.1,47.6,5575.4,2262.7,0.87,0.87,0.89,0.00,8.18,24.8,6.89,2.13,31.3
Brighton,26,38.0,41.6,77.7,53.5,7600.7,2508.1,0.79,0.85,0.83,-0.06,9.37,31.2,9.00,1.89,40.7
Burnley,23,38.0,38.3,84.6,45.3,4705.0,2110.4,0.68,0.82,0.74,-0.14,7.53,23.1,6.32,2.21,25.6
Chelsea,26,38.0,40.1,66.2,60.6,9008.6,2975.9,1.37,1.18,1.12,0.19,11.6,42.5,11.5,1.74,51.8
Crystal Palace,24,38.0,38.6,75.6,51.1,6987.8,2434.8,0.82,0.82,0.79,0.00,8.03,26.1,7.11,1.97,32.3
Everton,33,38.0,32.0,71.2,44.9,4863.5,2004.3,0.76,0.75,0.66,0.01,8.50,23.6,6.71,2.03,28.9
Leeds United,29,38.0,34.9,72.5,48.1,6385.9,2346.3,0.68,0.82,0.66,-0.14,9.13,26.2,7.16,1.39,39.0
Leicester City,28,38.0,35.0,67.9,51.5,7093.3,2479.3,1.21,0.90,0.71,0.31,8.21,27.0,6.68,1.50,35.7
Liverpool,27,38.0,52.6,84.5,62.3,9753.2,3344.4,1.87,1.67,1.48,0.20,13.9,49.4,13.4,2.42,59.0
Manchester City,26,38.0,51.9,76.2,68.1,10857.8,3104.3,1.66,1.72,1.50,-0.07,14.1,55.5,14.1,1.95,63.7
Manchester Utd,29,38.0,40.7,69.1,58.9,7375.2,2449.6,1.21,1.12,0.98,0.09,10.7,34.6,8.21,1.71,41.3
Newcastle Utd,29,38.0,35.3,72.3,48.9,4957.2,2044.3,0.61,0.68,0.61,-0.07,8.11,20.8,5.08,1.45,24.3
Norwich City,28,38.0,36.0,72.6,49.7,5710.7,2107.0,0.42,0.64,0.62,-0.22,6.95,19.4,5.95,1.21,27.1
Southampton,25,38.0,29.3,68.2,42.9,5552.7,2107.6,0.68,0.86,0.76,-0.17,9.29,26.7,6.55,1.53,34.9
Tottenham,25,38.0,36.2,62.4,58.0,7470.3,2459.6,1.32,1.24,1.09,0.08,9.97,30.8,8.89,2.13,38.4
Watford,30,38.0,35.0,76.4,45.8,5103.7,2106.7,0.68,0.86,0.59,-0.17,7.84,21.9,5.61,1.84,28.2
West Ham,25,38.0,38.9,76.5,50.9,6609.3,2347.1,1.21,0.98,0.85,0.23,8.42,29.1,7.13,2.29,38.1
Wolves,26,38.0,45.2,79.1,57.2,7252.8,2442.5,0.58,0.69,0.62,-0.12,7.74,28.8,5.58,1.50,33.8
